Nome,Cognome,Nickname,Paese,Guadagni,Gioco,Genere
Won Seok,Heo,PawN,Corea del Sud,440580.94,League of Legends,Multiplayer Online Battle Arena
Hyuk Kyu,Kim,Deft,Corea del Sud,409144.64,League of Legends,Multiplayer Online Battle Arena
Jong In,Kim,PraY,Corea del Sud,374778.08,League of Legends,Multiplayer Online Battle Arena
Min Seung,Kang,Haru,Corea del Sud,348691.73,League of Legends,Multiplayer Online Battle Arena
Seung Hoon,Heo,Huni,Corea del Sud,347699.25,League of Legends,Multiplayer Online Battle Arena
Hyeong Seok,Jang,Looper,Corea del Sud,346307.48,League of Legends,Multiplayer Online Battle Arena
Tae Sang,Kim,doinb,Corea del Sud,330849.29,League of Legends,Multiplayer Online Battle Arena
Beom Hyeon,Kang,GorillA,Corea del Sud,329318.02,League of Legends,Multiplayer Online Battle Arena
Seung Bin,Gu,imp,Corea del Sud,318379.81,League of Legends,Multiplayer Online Battle Arena
Kyung Ho,Song,Smeb,Corea del Sud,300818.81,League of Legends,Multiplayer Online Battle Arena
In Kyu,Choi,DanDy,Corea del Sud,281150.19,League of Legends,Multiplayer Online Battle Arena
Seo Haeng,Lee,kurO,Corea del Sud,267646.88,League of Legends,Multiplayer Online Battle Arena
Han Saem,Kim,GimGoon,Corea del Sud,266509.03,League of Legends,Multiplayer Online Battle Arena
Gwang Jin,Chae,Piglet,Corea del Sud,265429.15,League of Legends,Multiplayer Online Battle Arena
Jeong Hyeon,Lee,PoohManDu,Corea del Sud,256771.39,League of Legends,Multiplayer Online Battle Arena
Ji Hoon,Lee,Easyhoon,Corea del Sud,249497.86,League of Legends,Multiplayer Online Battle Arena
Ye Chan,Lee,Scout,Corea del Sud,242290.45,League of Legends,Multiplayer Online Battle Arena
Dong Ha,Kim,Khan,Corea del Sud,232418.28,League of Legends,Multiplayer Online Battle Arena
Kyung Sup,Yoon,Zero,Corea del Sud,229438.65,League of Legends,Multiplayer Online Battle Arena
Gyeong Hwan,Jang,MaRin,Corea del Sud,219660.3,League of Legends,Multiplayer Online Battle Arena
Sung Joon,Jin,Mystic,Corea del Sud,189265.81,League of Legends,Multiplayer Online Battle Arena
Dong Bin,Go,Score,Corea del Sud,185512.99,League of Legends,Multiplayer Online Battle Arena
Sang Ook,Yoo,Ryu,Corea del Sud,184100.69,League of Legends,Multiplayer Online Battle Arena
Bo Seong,Gwak,Bdd,Corea del Sud,182877.42,League of Legends,Multiplayer Online Battle Arena
Gang Yun,Kim,Trick,Corea del Sud,177780.23,League of Legends,Multiplayer Online Battle Arena
Su,Heo,ShowMaker,Corea del Sud,177331.43,League of Legends,Multiplayer Online Battle Arena
Ha Gwon,Jang,Nuguri,Corea del Sud,176983.88,League of Legends,Multiplayer Online Battle Arena
Geon Bu,Kim,Canyon,Corea del Sud,174361.72,League of Legends,Multiplayer Online Battle Arena
Geon Hee,Cho,BeryL,Corea del Sud,170911.34,League of Legends,Multiplayer Online Battle Arena
Dong Wook,Lee,LokeN,Corea del Sud,170679.58,League of Legends,Multiplayer Online Battle Arena
Dae Han,Gi,Expect,Corea del Sud,165169.85,League of Legends,Multiplayer Online Battle Arena
Jong Su,Lee,Peterpan,Corea del Sud,147050,Fortnite,Battle Royale
Dong Jun,Kim,Rascal,Corea del Sud,331108.68,Overwatch,First-Person Shooter
Nam Joo,Kwon,Striker,Corea del Sud,327424.24,Overwatch,First-Person Shooter
Myeong Hwan,Yoo,smurf,Corea del Sud,322184.16,Overwatch,First-Person Shooter
Hyo Bin,Choi,ChoiHyoBin,Corea del Sud,319657.2,Overwatch,First-Person Shooter
Min Ki,Park,Viol2t,Corea del Sud,308901.19,Overwatch,First-Person Shooter
Jae Hee,Hong,Gesture,Corea del Sud,297730.97,Overwatch,First-Person Shooter
Joon Yeong,Park,Profit,Corea del Sud,297730.97,Overwatch,First-Person Shooter
Seung Tae,Choi,Bdosin,Corea del Sud,272689.65,Overwatch,First-Person Shooter
Joo Seok,Lee,Twilight,Corea del Sud,267391.59,Overwatch,First-Person Shooter
Jun Ho,Kim,Fury,Corea del Sud,222400.43,Overwatch,First-Person Shooter
Ji Hyuk,Kim,birdring,Corea del Sud,208453.84,Overwatch,First-Person Shooter
Won Sik,Jung,Closer,Corea del Sud,197480.74,Overwatch,First-Person Shooter
Jong Seok,Kim,NUS,Corea del Sud,188479.09,Overwatch,First-Person Shooter
Sung Jun,Kim,SLIME,Corea del Sud,186382.3,Overwatch,First-Person Shooter
Jong Yeol,Park,Saebyeolbe,Corea del Sud,176385.68,Overwatch,First-Person Shooter
Dong Gyu,Kim,Mano,Corea del Sud,168959.28,Overwatch,First-Person Shooter
Hye Sung,Kim,Libero,Corea del Sud,167420.62,Overwatch,First-Person Shooter
Choong Hui,Lee,Stitch,Corea del Sud,164396.18,Overwatch,First-Person Shooter
Sung Hyeon,Bang,JJoNak,Corea del Sud,163336.4,Overwatch,First-Person Shooter
Seon Chang,Lee,ANS,Corea del Sud,159911.85,Overwatch,First-Person Shooter
Tae-seong,Jeong,ANAMO,Corea del Sud,159757.11,Overwatch,First-Person Shooter
Dong Eun,Lee,Hooreg,Corea del Sud,157907.63,Overwatch,First-Person Shooter
Min Ho,Park,Architect,Corea del Sud,157289.9,Overwatch,First-Person Shooter
Jin Mo,Yang,tobi,Corea del Sud,157268.25,Overwatch,First-Person Shooter
Hyeon Woo,Choi,JJANU,Corea del Sud,156207.98,Overwatch,First-Person Shooter
Hyo Jong,Kim,Haksal,Corea del Sud,151472.42,Overwatch,First-Person Shooter
Tae Hong,Kim,Mek0,Corea del Sud,149547.3,Overwatch,First-Person Shooter
Do Hyun,Kim,pine,Corea del Sud,138012.28,Overwatch,First-Person Shooter
Min-hyuk,Choi,Michelle,Corea del Sud,131615.34,Overwatch,First-Person Shooter
Sang Beom,Park,BUMPER,Corea del Sud,128681.89,Overwatch,First-Person Shooter
Yeon Joon,Hong,ArK,Corea del Sud,113666.44,Overwatch,First-Person Shooter
Min Seo,Hwang,Marve1,Corea del Sud,111871.29,Overwatch,First-Person Shooter
Jun Woo,Kang,Void,Corea del Sud,110435.01,Overwatch,First-Person Shooter
Jae Min,Park,ILLICIT,Corea del Sud,108240.14,Overwatch,First-Person Shooter
Min Soo,Seo,SeoMinSoo,Corea del Sud,107535.84,Overwatch,First-Person Shooter
Dong Eon,Kim,Fits,Corea del Sud,104737.26,Overwatch,First-Person Shooter
Jun Geun,Kim,Rapel,Corea del Sud,104074.27,Overwatch,First-Person Shooter
Min Seong,Bae,diem,Corea del Sud,94244.74,Overwatch,First-Person Shooter
Yeon Kwan,Jeong,Nenne,Corea del Sud,91413.27,Overwatch,First-Person Shooter
Jae Hyeok,Lee,Carpe,Corea del Sud,91158.55,Overwatch,First-Person Shooter
Young Wan,Kim,Creative,Corea del Sud,90485.05,Overwatch,First-Person Shooter
Jang Hyeon,Hwang,TiZi,Corea del Sud,88443.76,Overwatch,First-Person Shooter
Joong Hwa,Song,janus,Corea del Sud,86293.32,Overwatch,First-Person Shooter
Byeong Seon,Kim,Fleta,Corea del Sud,86277.6,Overwatch,First-Person Shooter
Je Hong,Ryu,Ryujehong,Corea del Sud,85804.45,Overwatch,First-Person Shooter
Yeon Oh,Hwang,Fl0w3R,Corea del Sud,83235.77,Overwatch,First-Person Shooter
Min Chul,Kim,Izayaki,Corea del Sud,82630.1,Overwatch,First-Person Shooter
Su Min,Kim,SADO,Corea del Sud,82032.82,Overwatch,First-Person Shooter
Seong Hyeon,Yang,Luffy,Corea del Sud,81363.59,Overwatch,First-Person Shooter
Min Seok,Kwon,AimGod,Corea del Sud,78260.01,Overwatch,First-Person Shooter
Chang Hoon,Gye,r0ar,Corea del Sud,78144.21,Overwatch,First-Person Shooter
Gui Un,Jang,Decay,Corea del Sud,77756.89,Overwatch,First-Person Shooter
Seung Joon,Lee,Whoru,Corea del Sud,75756.09,Overwatch,First-Person Shooter
Jin Hyeok,Yang,DDing,Corea del Sud,74902.37,Overwatch,First-Person Shooter
Jae Gon,Lee,LeeJaeGon,Corea del Sud,74175.89,Overwatch,First-Person Shooter
Kyung Ho,Kim,Alarm,Corea del Sud,73478.37,Overwatch,First-Person Shooter
Joon Hyuk,Kim,zunba,Corea del Sud,72886.36,Overwatch,First-Person Shooter
Se Yeon,Kim,Geguri,Corea del Sud,70298.68,Overwatch,First-Person Shooter
Hong Joon,Choi,HOTBA,Corea del Sud,68984.11,Overwatch,First-Person Shooter
Da Un,Jeong,NoSmite,Corea del Sud,67246.48,Overwatch,First-Person Shooter
Joon,Jeong,Erster,Corea del Sud,66165.46,Overwatch,First-Person Shooter
Hee Su,Jeong,Heesu,Corea del Sud,64783.08,Overwatch,First-Person Shooter
Ho Jin,Park,IDK,Corea del Sud,61950.86,Overwatch,First-Person Shooter
Ji Won,Seo,Stand1,Corea del Sud,61459.02,Overwatch,First-Person Shooter
Pan Seung,Koo,FaTe,Corea del Sud,55538.23,Overwatch,First-Person Shooter
Hyeon Woo,Jo,HagoPeun,Corea del Sud,54290.66,Overwatch,First-Person Shooter
Eui Seok,Lee,Fearless,Corea del Sud,54215.94,Overwatch,First-Person Shooter
Byung Ho,Lee,Panker,Corea del Sud,54037.27,Overwatch,First-Person Shooter
Kyeon Bo,Kim,GodsB,Corea del Sud,53293.7,Overwatch,First-Person Shooter
Won Ho,Jeong,KyoCha,Corea del Sud,464560.82,Heroes of the Storm,Multiplayer Online Battle Arena
Jung Hyeog,Lee,sake,Corea del Sud,462790.78,Heroes of the Storm,Multiplayer Online Battle Arena
Jae Won,Lee,Rich,Corea del Sud,427923.28,Heroes of the Storm,Multiplayer Online Battle Arena
Jin Woo,Im,Reset,Corea del Sud,360093.52,Heroes of the Storm,Multiplayer Online Battle Arena
Woon Sung,Kang,Ttsst,Corea del Sud,353715.98,Heroes of the Storm,Multiplayer Online Battle Arena
Seung Chul,Kim,sCsC,Corea del Sud,239311.62,Heroes of the Storm,Multiplayer Online Battle Arena
Ji Hoon,Yoon,Sign,Corea del Sud,211104.46,Heroes of the Storm,Multiplayer Online Battle Arena
Jeong Ha,Lee,Jeongha,Corea del Sud,200447.42,Heroes of the Storm,Multiplayer Online Battle Arena
Tae Jun,Lee,merryday,Corea del Sud,184790.78,Heroes of the Storm,Multiplayer Online Battle Arena
Do Joon,Chae,Noblesse,Corea del Sud,164811.62,Heroes of the Storm,Multiplayer Online Battle Arena
Jae Hun,Jin,Lockdown,Corea del Sud,156959.11,Heroes of the Storm,Multiplayer Online Battle Arena
Seung Won,Kim,Swoy,Corea del Sud,151828.25,Heroes of the Storm,Multiplayer Online Battle Arena
Jin Su,Park,NachoJin,Corea del Sud,146932.17,Heroes of the Storm,Multiplayer Online Battle Arena
Tae Hoon,Kwon,Sniper,Corea del Sud,128659.74,Heroes of the Storm,Multiplayer Online Battle Arena
Yeong Hwan,Jing,Hide,Corea del Sud,123398.02,Heroes of the Storm,Multiplayer Online Battle Arena
Ju Dam,Park,dami,Corea del Sud,109714.8,Heroes of the Storm,Multiplayer Online Battle Arena
Ki Soo,Han,CrazymoviNG,Corea del Sud,93131.84,Heroes of the Storm,Multiplayer Online Battle Arena
Jun,Jang,Jun,Corea del Sud,92591.2,Heroes of the Storm,Multiplayer Online Battle Arena
Jong Hoon,Park,Hooligan,Corea del Sud,92397.81,Heroes of the Storm,Multiplayer Online Battle Arena
Dae Hyung,Lee,Hongcono,Corea del Sud,89214.8,Heroes of the Storm,Multiplayer Online Battle Arena
Jae Hyun,Park,JaeHyun,Corea del Sud,85836.53,Heroes of the Storm,Multiplayer Online Battle Arena
Hyun Tae,Kim,SDE,Corea del Sud,84500,Heroes of the Storm,Multiplayer Online Battle Arena
Jin Hwan,Kim,Magi,Corea del Sud,79790.68,Heroes of the Storm,Multiplayer Online Battle Arena
Sung Hyun,Moon,Good,Corea del Sud,70434.23,Heroes of the Storm,Multiplayer Online Battle Arena
Kyung Deok,Kim,duckdeok,Corea del Sud,63405.8,Heroes of the Storm,Multiplayer Online Battle Arena
Tae Seok,Oh,taeseok,Corea del Sud,57792,Heroes of the Storm,Multiplayer Online Battle Arena
Seong Min,Min,Darvish,Corea del Sud,55970.05,Heroes of the Storm,Multiplayer Online Battle Arena
Jae Yeop,Jeong,Frankle,Corea del Sud,50572.68,Heroes of the Storm,Multiplayer Online Battle Arena
Jeong Yeong,Bak,Loki,Corea del Sud,703953.94,PUBG,Battle Royale
Jeong Wan,Go,ESTH3R,Corea del Sud,610486.16,PUBG,Battle Royale
Seung Hoon,Cha,Pio,Corea del Sud,591248.41,PUBG,Battle Royale
Tae Min,Kang,Taemin,Corea del Sud,585598.46,PUBG,Battle Royale
In Jae,Kim,EscA,Corea del Sud,153763.01,PUBG,Battle Royale
Jang Hwan,Seong,seongjang,Corea del Sud,141342.32,PUBG,Battle Royale
Do-hoon,Seol,indigo,Corea del Sud,136120.04,PUBG,Battle Royale
Su Yong,Jeong,kAyle,Corea del Sud,135217.79,PUBG,Battle Royale
Min Ki,Kim,Chelator,Corea del Sud,127042.27,PUBG,Battle Royale
Young Hoon,Shim,Simsn,Corea del Sud,125722.18,PUBG,Battle Royale
Jong Ho,Lee,Starlord,Corea del Sud,104576.9,PUBG,Battle Royale
,,Menteul,Corea del Sud,102114.43,PUBG,Battle Royale
Rak Gwon,Chung,Hulk,Corea del Sud,101243.57,PUBG,Battle Royale
Do-hyun,Kim,Daengchae,Corea del Sud,100930.84,PUBG,Battle Royale
Hwan,Jang,Hwan2da,Corea del Sud,98090.7,PUBG,Battle Royale
,,BBABBO,Corea del Sud,75125.32,PUBG,Battle Royale
Jae Hyun,Han,SexyPIG,Corea del Sud,74885.91,PUBG,Battle Royale
Kyung Chul,Oh,style,Corea del Sud,70101.26,PUBG,Battle Royale
Bo Hyun,Kim,YaKK,Corea del Sud,67744.43,PUBG,Battle Royale
Do-gyeong,Kim,DoYa,Corea del Sud,67687.33,PUBG,Battle Royale
,,DG98,Corea del Sud,64255.11,PUBG,Battle Royale
Hyun Woo,Yoon,yoonroot,Corea del Sud,59165.88,PUBG,Battle Royale
Gil Do,Lee,Temeria,Corea del Sud,56496.7,PUBG,Battle Royale
Seung Sun,Lee,shadow,Corea del Sud,50137.37,PUBG,Battle Royale
,,Makne,Corea del Sud,48503.23,PUBG,Battle Royale
Dauren,Kystaubayev,AdreN,Kazakistan,414305.65,Counter-Strike Global Offensive,First-Person Shooter
Alexey,Golubev,Qikert,Kazakistan,275404.13,Counter-Strike Global Offensive,First-Person Shooter
Rustem,Tlepov,mou,Kazakistan,273859.49,Counter-Strike Global Offensive,First-Person Shooter
Timur,Tulepov,Buster,Kazakistan,273784.13,Counter-Strike Global Offensive,First-Person Shooter
Abay,Khasenov,HObbit,Kazakistan,269977.5,Counter-Strike Global Offensive,First-Person Shooter
Maroun,Merhej,GH,Libano,4193412.69,Dota 2,Multiplayer Online Battle Arena
Zygimantas,Navickas,Redrush,Lituania,139936.26,Fortnite,Battle Royale
Laurynas,Rudys,Gaxy,Lituania,94926.51,PUBG,Battle Royale
Domeniks,Bunts,Domentos,Lettonia,269887.84,Fortnite,Battle Royale
Martin,Sazdov,Saksa,Macedonia,1046689.75,Dota 2,Multiplayer Online Battle Arena
Fa Ming,Liang,DDC,Macao,1337308.37,Dota 2,Multiplayer Online Battle Arena
Jianwei,Yap,xNova,Malesia,1882492.98,Dota 2,Multiplayer Online Battle Arena
Yeik Nai,Zheng,MidOne,Malesia,1781891.47,Dota 2,Multiplayer Online Battle Arena
Yee Fung,Chai,Mushi,Malesia,1023582.18,Dota 2,Multiplayer Online Battle Arena
Tue Soon,Chuan,Ah-fu,Malesia,781396.55,Dota 2,Multiplayer Online Battle Arena
Hock Chuan,Wong,ChuaN,Malesia,714049.53,Dota 2,Multiplayer Online Battle Arena
Chris,de Jong,chrisJ,Olanda,596748.79,Counter-Strike Global Offensive,First-Person Shooter
Dave,Jong,Rojo,Olanda,1213576.66,Fortnite,Battle Royale
Dmitri,Van de Vrie,Mitr0,Olanda,775574.81,Fortnite,Battle Royale
Sven,Edelenbosch,Svennoss,Olanda,205008.33,Fortnite,Battle Royale
Jord,van Geldere,Ibiza,Olanda,229095.65,PUBG,Battle Royale
Håvard,Nygaard,rain,Norvegia,763799.57,Counter-Strike Global Offensive,First-Person Shooter
Emil,Bergquist Pedersen,Nyhrox,Norvegia,1536845.69,Fortnite,Battle Royale
Martin,Foss,MrSavage,Norvegia,271316.73,Fortnite,Battle Royale
Patrik,Zaharchenko,Pate1k,Norvegia,207201.06,Fortnite,Battle Royale
Endre,Byre,Endretta,Norvegia,176803.33,Fortnite,Battle Royale
Niklas,Skogheim,Cursen,Norvegia,67862.48,Heroes of the Storm,Multiplayer Online Battle Arena
Ludvik,Jahnsen,Aitzy,Norvegia,282450.25,PUBG,Battle Royale
Jim,Eliassen,Jeemzz,Norvegia,230595.65,PUBG,Battle Royale
Djardel Jicko,Mampusti,DJ,Filippine,798597.31,Dota 2,Multiplayer Online Battle Arena
Timothy,Randrup,Tims,Filippine,770563.75,Dota 2,Multiplayer Online Battle Arena
Kuku,Palad,KuKU,Filippine,710464.63,Dota 2,Multiplayer Online Battle Arena
Marc Polo,Luis Fausto,Raven,Filippine,609393.1,Dota 2,Multiplayer Online Battle Arena
Jake,Puchero,Xmithie,Filippine,260170.9,League of Legends,Multiplayer Online Battle Arena
Magno,Ramos,Pr0phie,Filippine,131989.19,PUBG,Battle Royale
Sumail,Hassan,SumaiL,Pakistan,3608317.34,Dota 2,Multiplayer Online Battle Arena
Janusz,Pogorzelski,snax,Polonia,653938.44,Counter-Strike Global Offensive,First-Person Shooter
Filip,Kubski,neo,Polonia,606880.52,Counter-Strike Global Offensive,First-Person Shooter
Wiktor,Wojtas,TaZ,Polonia,591510.89,Counter-Strike Global Offensive,First-Person Shooter
Jarosław,Jarząbkowski,pashaBiceps,Polonia,577382.35,Counter-Strike Global Offensive,First-Person Shooter
Paweł,Bieliński,byali,Polonia,574103.56,Counter-Strike Global Offensive,First-Person Shooter
Damian,Kisłowski,Furlan,Polonia,244070.27,Counter-Strike Global Offensive,First-Person Shooter
Karol,Rodowicz,rallen,Polonia,234332.17,Counter-Strike Global Offensive,First-Person Shooter
Michał,Jankowski,Nisha,Polonia,933853.71,Dota 2,Multiplayer Online Battle Arena
Marcin,Jankowski,Jankos,Polonia,403320.75,League of Legends,Multiplayer Online Battle Arena
Adrian,Wójcik,adrd,Polonia,103282.92,Heroes of the Storm,Multiplayer Online Battle Arena
Aliwi,Omar,w33,Romania,2275625.58,Dota 2,Multiplayer Online Battle Arena
Egor,Vasilyev,flamie,Russia,732920.07,Counter-Strike Global Offensive,First-Person Shooter
Denis,Sharipov,electroNic,Russia,531541.99,Counter-Strike Global Offensive,First-Person Shooter
Denis,Kostin,seized,Russia,339091.34,Counter-Strike Global Offensive,First-Person Shooter
Mikhail,Stolyarov,Dosia,Russia,307601.25,Counter-Strike Global Offensive,First-Person Shooter
Ali,Dzhami,Jame,Russia,273117.72,Counter-Strike Global Offensive,First-Person Shooter
Roman,Kushnarev,RAMZES666,Russia,1787796.92,Dota 2,Multiplayer Online Battle Arena
Alexei,Berezin,Solo,Russia,1778125.61,Dota 2,Multiplayer Online Battle Arena
Pavel,Khvastunov,9pasha,Russia,1713179.57,Dota 2,Multiplayer Online Battle Arena
Vladimir,Nikogosyan,RodjER,Russia,1325834.13,Dota 2,Multiplayer Online Battle Arena
Yan,Kaur,Fwexy,Russia,193787.59,Fortnite,Battle Royale
Mark,Danilov,Letw1k3,Russia,189482.52,Fortnite,Battle Royale
Jamal,Saidayev,Jamside,Russia,172779.7,Fortnite,Battle Royale
George,Gushcha,ShaDowBurn,Russia,63953.84,Overwatch,First-Person Shooter
Ivan,Kapustin,ubah,Russia,325558.75,PUBG,Battle Royale
Roman,Zinoviev,ADOUZ1E,Russia,106225,PUBG,Battle Royale
Arsenii,Ivanychev,ceh9,Russia,104675,PUBG,Battle Royale
Vadim,Ulshin,POKAMOLODOY,Russia,104671.25,PUBG,Battle Royale
Andrey,Ionov,Bestoloch,Russia,78800,PUBG,Battle Royale
Alexey,Trufanov,0nuqtive,Russia,58458.75,PUBG,Battle Royale
Jesper,Wecksell,JW,Svezia,897760.68,Counter-Strike Global Offensive,First-Person Shooter
Olof,Kajbjer,olofmeister,Svezia,880011.52,Counter-Strike Global Offensive,First-Person Shooter
Robin,Rönnquist,flusha,Svezia,877668.95,Counter-Strike Global Offensive,First-Person Shooter
Freddy,Johansson,KRiMZ,Svezia,867823.34,Counter-Strike Global Offensive,First-Person Shooter
Patrik,Lindberg,f0rest,Svezia,547205.97,Counter-Strike Global Offensive,First-Person Shooter
Christopher,Alesund,GeT_RiGhT,Svezia,517888.39,Counter-Strike Global Offensive,First-Person Shooter
Richard,Landström,Xizt,Svezia,513805.74,Counter-Strike Global Offensive,First-Person Shooter
Jonas,Olofsson,Lekr0,Svezia,464499.26,Counter-Strike Global Offensive,First-Person Shooter
Maikil,Selim,Golden,Svezia,448642.48,Counter-Strike Global Offensive,First-Person Shooter
Adam,Friberg,friberg,Svezia,407662.41,Counter-Strike Global Offensive,First-Person Shooter
Dennis,Edman,dennis,Svezia,361678.02,Counter-Strike Global Offensive,First-Person Shooter
Fredrik,Sterner,REZ,Svezia,284845.29,Counter-Strike Global Offensive,First-Person Shooter
Simon,Eliasson,twist,Svezia,260721.09,Counter-Strike Global Offensive,First-Person Shooter
Gustav,Magnusson,s4,Svezia,2545626.14,Dota 2,Multiplayer Online Battle Arena
Ludwig,Wåhlberg,Zai,Svezia,2504134.31,Dota 2,Multiplayer Online Battle Arena
Johan,Åström,pieliedie,Svezia,989390.86,Dota 2,Multiplayer Online Battle Arena
Jonathan,Berg,Loda,Svezia,698363.52,Dota 2,Multiplayer Online Battle Arena
Jerry,Lundqvist,EGM,Svezia,679039.12,Dota 2,Multiplayer Online Battle Arena
Joakim,Akterhall,Akke,Svezia,643143.08,Dota 2,Multiplayer Online Battle Arena
Henrik,Ahnberg,AdmiralBulldog,Svezia,638938.79,Dota 2,Multiplayer Online Battle Arena
Martin,Larsson,Rekkles,Svezia,438830.14,League of Legends,Multiplayer Online Battle Arena
Petter,Freyschuss,Hjärnan,Svezia,160818.8,League of Legends,Multiplayer Online Battle Arena
Theo,Ferrer,Crue,Svezia,715350,Fortnite,Battle Royale
Felix,Hortlund,Wakie,Svezia,174439.58,Fortnite,Battle Royale
Pontus,Bucht,Tchub,Svezia,172400,Fortnite,Battle Royale
Alexander,Zayedli,Znappy,Svezia,159160.84,Fortnite,Battle Royale
Moussa,Faour,Chapix,Svezia,136820,Fortnite,Battle Royale
Andreas,Karlsson,Nevix,Svezia,180755.36,Overwatch,First-Person Shooter
Simon,Ekström,snillo,Svezia,81812.25,Overwatch,First-Person Shooter
Sebastian,Widlund,chipshajen,Svezia,56549.85,Overwatch,First-Person Shooter
Jonathan,Gunnarsson,Wubby,Svezia,264826.14,Heroes of the Storm,Multiplayer Online Battle Arena
Simon,Svensson,Schwimpi,Svezia,191647.23,Heroes of the Storm,Multiplayer Online Battle Arena
Pontus,Sjogren,Breez,Svezia,187978.31,Heroes of the Storm,Multiplayer Online Battle Arena
Filip,Liljeström,Smexystyle,Svezia,184411.26,Heroes of the Storm,Multiplayer Online Battle Arena
Dob,Engström,QuackNiix,Svezia,180964.31,Heroes of the Storm,Multiplayer Online Battle Arena
Vilhem,Flennmark,POILK,Svezia,114751.8,Heroes of the Storm,Multiplayer Online Battle Arena
Benjamin,Eekenulv,BadBenny,Svezia,76798.88,Heroes of the Storm,Multiplayer Online Battle Arena
David,Tillberg,fuzzface,Svezia,344350.25,PUBG,Battle Royale
Adrian,Blom,Haxete,Svezia,62654.51,PUBG,Battle Royale
Daryl Pei Xiang,Koh,iceiceice,Singapore,1553261.96,Dota 2,Multiplayer Online Battle Arena
Mihael,Mehle,Mikyx,Slovenia,220292.5,League of Legends,Multiplayer Online Battle Arena
Tai,Starčič,TaySon,Slovenia,200130,Fortnite,Battle Royale
,,K1nzell,Slovenia,167697.53,Fortnite,Battle Royale
Matic,Mikec,Zarmony,Slovenia,75978.57,Heroes of the Storm,Multiplayer Online Battle Arena
Ladislav,Kovács,GuardiaN,Slovacchia,798520.8,Counter-Strike Global Offensive,First-Person Shooter
Martin,Styk,STYKO,Slovacchia,305655.12,Counter-Strike Global Offensive,First-Person Shooter
David,Čerňanský,frozen,Slovacchia,265131.4,Counter-Strike Global Offensive,First-Person Shooter
Katanyu,Chinsorranan,DUCKMANZ,Thailandia,47602.61,PUBG,Battle Royale
Can,Dörtkardes,XANTARES,Turchia,307129.97,Counter-Strike Global Offensive,First-Person Shooter
Özgür,Eker,woxic,Turchia,302884.33,Counter-Strike Global Offensive,First-Person Shooter
Ömer,Develi,Iroh,Turchia,85243.75,PUBG,Battle Royale
Hau Hsuan,Hung,Karsa,Taiwan,538926.12,League of Legends,Multiplayer Online Battle Arena
Shuo Jie,Hu,SwordArt,Taiwan,337163.36,League of Legends,Multiplayer Online Battle Arena
Bo Wei,Cheng,bebe,Taiwan,286115.32,League of Legends,Multiplayer Online Battle Arena
Yi Tang,Huang,Maple,Taiwan,240437.63,League of Legends,Multiplayer Online Battle Arena
June Tsan,Wang,Stanley,Taiwan,225522.01,League of Legends,Multiplayer Online Battle Arena
Kuan Po,Sung,Lilballz,Taiwan,217429.72,League of Legends,Multiplayer Online Battle Arena
Hui Chung,Chen,MiSTakE,Taiwan,216539.83,League of Legends,Multiplayer Online Battle Arena
Yu Hung,Lu,Betty,Taiwan,177478.08,League of Legends,Multiplayer Online Battle Arena
Yu Yen,Su,GoDDog,Taiwan,65965.06,Heroes of the Storm,Multiplayer Online Battle Arena
Chun Yu,Wu,Alphaluna,Taiwan,53541,Heroes of the Storm,Multiplayer Online Battle Arena
Daniil,Teslenko,Zeus,Ucraina,689568.7,Counter-Strike Global Offensive,First-Person Shooter
Alexander,Kostylev,s1mple,Ucraina,677155.31,Counter-Strike Global Offensive,First-Person Shooter
Ioann,Sukharev,Edward,Ucraina,613854.6,Counter-Strike Global Offensive,First-Person Shooter
Vladimir,Minenko,Noone,Ucraina,1617323.45,Dota 2,Multiplayer Online Battle Arena
Roman,Fominok,Resolut1on,Ucraina,1460470.75,Dota 2,Multiplayer Online Battle Arena
Ilya,Ilyuk,Lil,Ucraina,917449.86,Dota 2,Multiplayer Online Battle Arena
Danil,Ishutin,Dendi,Ucraina,801915.23,Dota 2,Multiplayer Online Battle Arena
Oleksandr,Dashkevych,XBOCT,Ucraina,661271.48,Dota 2,Multiplayer Online Battle Arena
Jakey,Yip,Stewie2k,Stati Uniti,1087340,Counter-Strike Global Offensive,First-Person Shooter
Jonathan,Jablonowski,ELiGE,Stati Uniti,930696.42,Counter-Strike Global Offensive,First-Person Shooter
Nick,Cannella,nitr0,Stati Uniti,920151.73,Counter-Strike Global Offensive,First-Person Shooter
Tarik,Celik,tarik,Stati Uniti,780039.21,Counter-Strike Global Offensive,First-Person Shooter
Will,Wierzba,Rush,Stati Uniti,586616,Counter-Strike Global Offensive,First-Person Shooter
Timothy,Ta,autimatic,Stati Uniti,449799.56,Counter-Strike Global Offensive,First-Person Shooter
Tyler,Latham,Skadoodle,Stati Uniti,437479.98,Counter-Strike Global Offensive,First-Person Shooter
Vincent,Cayonte,Brehze,Stati Uniti,391973.94,Counter-Strike Global Offensive,First-Person Shooter
Ethan,Arnold,nahtE,Stati Uniti,389680.38,Counter-Strike Global Offensive,First-Person Shooter
Jordan,Gilbert,n0thing,Stati Uniti,239956.42,Counter-Strike Global Offensive,First-Person Shooter
Saahil,Arora,UNiVeRsE,Stati Uniti,3057237.67,Dota 2,Multiplayer Online Battle Arena
Peter,Dager,ppd,Stati Uniti,2995619.62,Dota 2,Multiplayer Online Battle Arena
